fact_id,period_id,scenario_code,entity_id,sector_code,division_code,measure_code,currency_code,value_lc,value_eur_nom,value_eur_real
1,202301,ACT,1,BBM,PS,TGS,EUR,353.187,353.187,353.187
2,202301,ACT,1,BBM,PS,TNS,EUR,335.528,335.528,335.528
3,202301,ACT,1,BBM,PS,INT_SALES,EUR,17.659,17.659,17.659
4,202301,ACT,1,BBM,PS,STP_REGION,EUR,209.127,209.127,209.127
5,202301,ACT,1,BBM,PS,EBIT,EUR,16.87,16.87,16.87
6,202301,ACT,1,BBM,PS,SGA_RD,EUR,31.755,31.755,31.755
7,202301,ACT,1,BBM,PS,SGA_SALES,EUR,16.536,16.536,16.536
8,202301,ACT,1,BBM,PS,SGA_ADMIN,EUR,9.229,9.229,9.229
9,202301,ACT,1,BBM,PS,SGA_VAR,EUR,13.917,13.917,13.917
10,202301,ACT,1,BBM,PS,OTHER_OPINC,EUR,0.474,0.474,0.474
11,202301,ACT,1,BBM,PS,AR,EUR,499.818,499.818,499.818
12,202301,ACT,1,BBM,PS,AP,EUR,418.02,418.02,418.02
13,202301,ACT,1,BBM,PS,INVENTORY,EUR,667.983,667.983,667.983
14,202301,ACT,1,BBM,PS,CAPEX,EUR,15.631,15.631,15.631
15,202301,ACT,1,BBM,PS,IFCF,EUR,21.738,21.738,21.738
16,202302,ACT,1,BBM,PS,TGS,EUR,347.305,347.305,347.305
17,202302,ACT,1,BBM,PS,TNS,EUR,329.94,329.94,329.94
18,202302,ACT,1,BBM,PS,INT_SALES,EUR,17.365,17.365,17.365
19,202302,ACT,1,BBM,PS,STP_REGION,EUR,205.072,205.072,205.072
20,202302,ACT,1,BBM,PS,EBIT,EUR,16.476,16.476,16.476
21,202302,ACT,1,BBM,PS,SGA_RD,EUR,31.262,31.262,31.262
22,202302,ACT,1,BBM,PS,SGA_SALES,EUR,16.178,16.178,16.178
23,202302,ACT,1,BBM,PS,SGA_ADMIN,EUR,9.043,9.043,9.043
24,202302,ACT,1,BBM,PS,SGA_VAR,EUR,12.904,12.904,12.904
25,202302,ACT,1,BBM,PS,OTHER_OPINC,EUR,-0.639,-0.639,-0.639
26,202302,ACT,1,BBM,PS,AR,EUR,494.469,494.469,494.469
27,202302,ACT,1,BBM,PS,AP,EUR,411.91,411.91,411.91
28,202302,ACT,1,BBM,PS,INVENTORY,EUR,666.168,666.168,666.168
29,202302,ACT,1,BBM,PS,CAPEX,EUR,16.479,16.479,16.479
30,202302,ACT,1,BBM,PS,IFCF,EUR,14.054,14.054,14.054
31,202303,ACT,1,BBM,PS,TGS,EUR,373.782,373.782,373.782
32,202303,ACT,1,BBM,PS,TNS,EUR,355.093,355.093,355.093
33,202303,ACT,1,BBM,PS,INT_SALES,EUR,18.689,18.689,18.689
34,202303,ACT,1,BBM,PS,STP_REGION,EUR,219.906,219.906,219.906
35,202303,ACT,1,BBM,PS,EBIT,EUR,16.967,16.967,16.967
36,202303,ACT,1,BBM,PS,SGA_RD,EUR,32.604,32.604,32.604
37,202303,ACT,1,BBM,PS,SGA_SALES,EUR,17.655,17.655,17.655
38,202303,ACT,1,BBM,PS,SGA_ADMIN,EUR,10.007,10.007,10.007
39,202303,ACT,1,BBM,PS,SGA_VAR,EUR,14.008,14.008,14.008
40,202303,ACT,1,BBM,PS,OTHER_OPINC,EUR,-0.381,-0.381,-0.381
41,202303,ACT,1,BBM,PS,AR,EUR,519.364,519.364,519.364
42,202303,ACT,1,BBM,PS,AP,EUR,455.513,455.513,455.513
43,202303,ACT,1,BBM,PS,INVENTORY,EUR,698.78,698.78,698.78
44,202303,ACT,1,BBM,PS,CAPEX,EUR,19.044,19.044,19.044
45,202303,ACT,1,BBM,PS,IFCF,EUR,9.527,9.527,9.527
46,202304,ACT,1,BBM,PS,TGS,EUR,366.554,366.554,366.554
47,202304,ACT,1,BBM,PS,TNS,EUR,348.226,348.226,348.226
48,202304,ACT,1,BBM,PS,INT_SALES,EUR,18.328,18.328,18.328
49,202304,ACT,1,BBM,PS,STP_REGION,EUR,215.457,215.457,215.457
50,202304,ACT,1,BBM,PS,EBIT,EUR,17.198,17.198,17.198
51,202304,ACT,1,BBM,PS,SGA_RD,EUR,33.623,33.623,33.623
52,202304,ACT,1,BBM,PS,SGA_SALES,EUR,17.705,17.705,17.705
53,202304,ACT,1,BBM,PS,SGA_ADMIN,EUR,10.057,10.057,10.057
54,202304,ACT,1,BBM,PS,SGA_VAR,EUR,13.699,13.699,13.699
55,202304,ACT,1,BBM,PS,OTHER_OPINC,EUR,2.274,2.274,2.274
56,202304,ACT,1,BBM,PS,AR,EUR,509.057,509.057,509.057
57,202304,ACT,1,BBM,PS,AP,EUR,432.456,432.456,432.456
58,202304,ACT,1,BBM,PS,INVENTORY,EUR,699.236,699.236,699.236
59,202304,ACT,1,BBM,PS,CAPEX,EUR,19.625,19.625,19.625
60,202304,ACT,1,BBM,PS,IFCF,EUR,12.217,12.217,12.217
61,202305,ACT,1,BBM,PS,TGS,EUR,340.178,340.178,340.178
62,202305,ACT,1,BBM,PS,TNS,EUR,323.169,323.169,323.169
63,202305,ACT,1,BBM,PS,INT_SALES,EUR,17.009,17.009,17.009
64,202305,ACT,1,BBM,PS,STP_REGION,EUR,200.703,200.703,200.703
65,202305,ACT,1,BBM,PS,EBIT,EUR,14.925,14.925,14.925
66,202305,ACT,1,BBM,PS,SGA_RD,EUR,30.063,30.063,30.063
67,202305,ACT,1,BBM,PS,SGA_SALES,EUR,15.923,15.923,15.923
68,202305,ACT,1,BBM,PS,SGA_ADMIN,EUR,9.099,9.099,9.099
69,202305,ACT,1,BBM,PS,SGA_VAR,EUR,12.104,12.104,12.104
70,202305,ACT,1,BBM,PS,OTHER_OPINC,EUR,1.113,1.113,1.113
71,202305,ACT,1,BBM,PS,AR,EUR,479.361,479.361,479.361
