fact_id,period_id,scenario_code,entity_id,sector_code,division_code,hc_state_direct,hc_state_indirect,hc_avg_direct,hc_avg_indirect,pc_fte_direct,pc_fte_indirect
1,202301,ACT,1,BBM,PS,8618.2,5282.2,8592.4,5266.3,7990.9,4897.7
2,202302,ACT,1,BBM,PS,8621.1,5283.9,8595.2,5268.0,7993.5,4899.3
3,202303,ACT,1,BBM,PS,8647.3,5300.0,8621.4,5284.1,8017.9,4914.2
4,202304,ACT,1,BBM,PS,8575.8,5256.1,8550.0,5240.3,7951.5,4873.5
5,202305,ACT,1,BBM,PS,8617.4,5281.6,8591.5,5265.8,7990.1,4897.2
6,202306,ACT,1,BBM,PS,8589.7,5264.7,8564.0,5248.9,7964.5,4881.5
7,202307,ACT,1,BBM,PS,8634.6,5292.2,8608.7,5276.3,8006.1,4906.9
8,202308,ACT,1,BBM,PS,8593.6,5267.0,8567.8,5251.2,7968.0,4883.6
9,202309,ACT,1,BBM,PS,8555.7,5243.8,8530.1,5228.1,7933.0,4862.1
10,202310,ACT,1,BBM,PS,8602.8,5272.7,8577.0,5256.8,7976.6,4888.9
11,202311,ACT,1,BBM,PS,8619.2,5282.7,8593.3,5266.9,7991.8,4898.2
12,202312,ACT,1,BBM,PS,8648.1,5300.4,8622.1,5284.5,8018.6,4914.6
13,202401,ACT,1,BBM,PS,8600.6,5271.3,8574.8,5255.5,7974.5,4887.6
14,202402,ACT,1,BBM,PS,8581.0,5259.3,8555.2,5243.5,7956.4,4876.5
15,202403,ACT,1,BBM,PS,8545.9,5237.8,8520.2,5222.1,7923.8,4856.5
16,202404,ACT,1,BBM,PS,8549.0,5239.7,8523.3,5224.0,7926.7,4858.3
17,202405,ACT,1,BBM,PS,8581.7,5259.7,8555.9,5244.0,7957.0,4876.9
18,202401,CF,1,BBM,PS,8603.2,5272.9,8577.4,5257.1,7977.0,4889.1
19,202402,CF,1,BBM,PS,8587.5,5263.3,8561.8,5247.5,7962.5,4880.2
20,202403,CF,1,BBM,PS,8571.9,5253.7,8546.2,5238.0,7948.0,4871.3
21,202404,CF,1,BBM,PS,8556.3,5244.2,8530.6,5228.4,7933.5,4862.4
22,202405,CF,1,BBM,PS,8540.6,5234.6,8515.0,5218.9,7918.9,4853.5
23,202406,CF,1,BBM,PS,8525.0,5225.0,8499.4,5209.3,7904.4,4844.7
24,202407,CF,1,BBM,PS,8509.3,5215.4,8483.8,5199.8,7889.9,4835.8
25,202408,CF,1,BBM,PS,8493.7,5205.8,8468.2,5190.2,7875.4,4826.9
26,202409,CF,1,BBM,PS,8478.1,5196.2,8452.6,5180.6,7860.9,4818.0
27,202410,CF,1,BBM,PS,8462.4,5186.6,8437.0,5171.1,7846.4,4809.1
28,202411,CF,1,BBM,PS,8446.8,5177.1,8421.4,5161.5,7831.9,4800.2
29,202412,CF,1,BBM,PS,8431.1,5167.5,8405.8,5152.0,7817.4,4791.3
30,202401,BP,1,BBM,PS,8603.2,5272.9,8577.4,5257.1,7977.0,4889.1
31,202402,BP,1,BBM,PS,8596.9,5269.1,8571.1,5253.3,7971.2,4885.6
32,202403,BP,1,BBM,PS,8590.7,5265.3,8564.9,5249.5,7965.4,4882.0
33,202404,BP,1,BBM,PS,8584.4,5261.4,8558.7,5245.6,7959.6,4878.4
34,202405,BP,1,BBM,PS,8578.2,5257.6,8552.4,5241.8,7953.8,4874.9
35,202406,BP,1,BBM,PS,8571.9,5253.7,8546.2,5238.0,7948.0,4871.3
36,202407,BP,1,BBM,PS,8565.6,5249.9,8540.0,5234.2,7942.2,4867.8
37,202408,BP,1,BBM,PS,8559.4,5246.1,8533.7,5230.3,7936.4,4864.2
38,202409,BP,1,BBM,PS,8553.1,5242.2,8527.5,5226.5,7930.6,4860.7
39,202410,BP,1,BBM,PS,8546.9,5238.4,8521.2,5222.7,7924.8,4857.1
40,202411,BP,1,BBM,PS,8540.6,5234.6,8515.0,5218.9,7918.9,4853.5
41,202412,BP,1,BBM,PS,8534.4,5230.7,8508.8,5215.0,7913.1,4850.0
42,202301,ACT,1,BBM,CC,5509.6,3376.9,5493.1,3366.7,5108.6,3131.1
43,202302,ACT,1,BBM,CC,5480.2,3358.8,5463.8,3348.8,5081.3,3114.3
44,202303,ACT,1,BBM,CC,5486.3,3362.6,5469.8,3352.5,5087.0,3117.8
45,202304,ACT,1,BBM,CC,5442.0,3335.4,5425.6,3325.4,5045.8,3092.6
46,202305,ACT,1,BBM,CC,5507.1,3375.3,5490.6,3365.2,5106.2,3129.6
47,202306,ACT,1,BBM,CC,5442.5,3335.7,5426.1,3325.7,5046.3,3092.9
48,202307,ACT,1,BBM,CC,5493.3,3366.9,5476.9,3356.8,5093.5,3121.8
49,202308,ACT,1,BBM,CC,5472.1,3353.9,5455.7,3343.8,5073.8,3109.8
50,202309,ACT,1,BBM,CC,5448.4,3339.3,5432.0,3329.3,5051.8,3096.2
51,202310,ACT,1,BBM,CC,5474.7,3355.5,5458.3,3345.4,5076.2,3111.2
52,202311,ACT,1,BBM,CC,5442.7,3335.8,5426.3,3325.8,5046.5,3093.0
53,202312,ACT,1,BBM,CC,5498.7,3370.2,5482.2,3360.1,5098.5,3124.9
54,202401,ACT,1,BBM,CC,5521.2,3383.9,5504.6,3373.8,5119.3,3137.6
